company_id,issue,category
LTIM,ROE Difference,Formula Discrepancy
M&M,ROE Difference,Formula Discrepancy
M&M,ROE Difference,Formula Discrepancy
MARUTI,ROE Difference,Formula Discrepancy
MARUTI,ROE Difference,Formula Discrepancy
MOTHERSON,ROE Difference,Formula Discrepancy
MOTHERSON,ROE Difference,Formula Discrepancy
MOTHERSON,ROE Difference,Formula Discrepancy
MOTHERSON,ROE Difference,Formula Discrepancy
MOTHERSON,ROE Difference,Formula Discrepancy
MOTHERSON,ROE Difference,Formula Discrepancy
MOTHERSON,ROE Difference,Formula Discrepancy
MOTHERSON,ROE Difference,Formula Discrepancy
NAUKRI,ROE Difference,Formula Discrepancy
NAUKRI,ROE Difference,Formula Discrepancy
NAUKRI,ROE Difference,Formula Discrepancy
NAUKRI,ROE Difference,Formula Discrepancy
NAUKRI,ROE Difference,Formula Discrepancy
NAUKRI,ROE Difference,Formula Discrepancy
NAUKRI,ROE Difference,Formula Discrepancy
NAUKRI,ROE Difference,Formula Discrepancy
NAUKRI,ROE Difference,Formula Discrepancy
NESTLEIND,ROE Difference,Formula Discrepancy
NESTLEIND,ROE Difference,Formula Discrepancy
NESTLEIND,ROE Difference,Formula Discrepancy
NESTLEIND,ROE Difference,Formula Discrepancy
NESTLEIND,ROE Difference,Formula Discrepancy
NESTLEIND,ROE Difference,Formula Discrepancy
NESTLEIND,ROE Difference,Formula Discrepancy
NESTLEIND,ROE Difference,Formula Discrepancy
NESTLEIND,ROE Difference,Formula Discrepancy
NESTLEIND,ROE Difference,Formula Discrepancy
NESTLEIND,ROE Difference,Formula Discrepancy
NESTLEIND,ROE Difference,Formula Discrepancy
ONGC,ROE Difference,Formula Discrepancy
ONGC,ROE Difference,Formula Discrepancy
PFC,Financial Sector,Bank ROCE Carve-Out
PFC,Financial Sector,Bank ROCE Carve-Out
PFC,Financial Sector,Bank ROCE Carve-Out
PFC,Financial Sector,Bank ROCE Carve-Out
PFC,Financial Sector,Bank ROCE Carve-Out
PFC,Financial Sector,Bank ROCE Carve-Out
PFC,Financial Sector,Bank ROCE Carve-Out
PFC,Financial Sector,Bank ROCE Carve-Out
PFC,Financial Sector,Bank ROCE Carve-Out
PFC,Financial Sector,Bank ROCE Carve-Out
PFC,Financial Sector,Bank ROCE Carve-Out
